Timestamp,P1_SPU,F1_Lmin,F2_Lmin,P2_SPU,Label
2026-05-05 00:11:39,2.91,2.93,2.4,0.01,1
2026-05-05 00:11:41,2.81,3.07,2.4,0.5,1
2026-05-05 00:11:43,2.82,2.93,2.4,0.59,1
2026-05-05 00:11:45,3.14,2.93,2.4,0.55,1
2026-05-05 00:11:47,1.76,2.93,2.4,-0.98,1
2026-05-05 00:11:49,2.74,3.07,2.4,-0.26,1
2026-05-05 00:11:51,2.98,3.07,2.4,0.23,1
2026-05-05 00:11:53,1.71,2.93,2.4,-0.36,1
2026-05-05 00:11:55,1.07,3.07,2.4,-1.13,1
2026-05-05 00:11:57,2.32,2.93,2.4,-0.07,1
2026-05-05 00:11:59,1.52,3.07,2.4,-0.76,1
2026-05-05 00:12:01,1.12,2.93,2.4,-1.07,1
2026-05-05 00:12:03,1.9,3.07,2.4,-0.55,1
2026-05-05 00:12:05,1.11,2.93,2.4,-0.65,1
2026-05-05 00:12:07,2.45,2.93,2.4,0.08,1
2026-05-05 00:12:09,2.52,2.93,2.4,0.7,1
2026-05-05 00:12:11,3.01,2.93,2.4,0.4,1
2026-05-05 00:12:13,1.15,2.93,2.4,-1.15,1
2026-05-05 00:12:15,3.41,2.93,2.4,0.38,1
2026-05-05 00:12:17,2.96,3.07,2.4,-0.12,1
2026-05-05 00:12:19,3.19,2.93,2.4,0.23,1
2026-05-05 00:12:21,1.19,2.93,2.4,-1.54,1
2026-05-05 00:12:23,2.29,2.93,2.4,-0.04,1
2026-05-05 00:12:25,2.41,2.93,2.4,0.51,1
2026-05-05 00:12:27,1.02,2.93,2.4,-0.71,1
2026-05-05 00:12:29,1.08,2.93,2.27,-1.43,1
2026-05-05 00:12:31,2.74,2.93,2.4,-0.02,1
2026-05-05 00:12:33,0.94,2.93,2.4,-1.44,1
2026-05-05 00:12:35,2.67,2.93,2.4,-0.03,1
2026-05-05 00:12:37,2.0,2.93,2.4,-0.28,1
2026-05-05 00:12:39,1.39,2.93,2.4,-1.7,1
2026-05-05 00:12:41,2.89,2.93,2.4,0.39,1
2026-05-05 00:12:43,0.88,2.93,2.4,-1.47,1
2026-05-05 00:12:45,3.03,3.07,2.4,0.38,1
2026-05-05 00:12:47,1.0,2.93,2.4,-1.3,1
2026-05-05 00:12:49,2.5,2.93,2.4,0.36,1
