entry_id,f1_lmin,f2_lmin,label,p1_spu,p2_spu,timestamp
2026-05-05_17-29-19,2.8,2.53,0.0,0.93,-1.27,2026-05-05 17:29:19
2026-05-05_17-29-21,2.8,2.67,0.0,2.7,0.61,2026-05-05 17:29:21
2026-05-05_17-29-23,2.8,2.67,0.0,1.04,-1.07,2026-05-05 17:29:23
2026-05-05_17-29-25,2.8,2.67,0.0,2.02,0.26,2026-05-05 17:29:25
2026-05-05_17-29-27,2.8,2.67,0.0,2.75,0.39,2026-05-05 17:29:27
2026-05-05_17-29-29,2.67,2.67,0.0,1.2,-0.69,2026-05-05 17:29:29
2026-05-05_17-29-31,2.8,2.67,0.0,1.48,-1.24,2026-05-05 17:29:31
2026-05-05_17-29-33,2.67,2.67,0.0,0.94,-1.42,2026-05-05 17:29:33
2026-05-05_17-29-35,2.8,2.67,0.0,2.39,0.19,2026-05-05 17:29:35
2026-05-05_17-29-37,2.67,2.67,0.0,1.15,-0.72,2026-05-05 17:29:37
2026-05-05_17-29-39,2.8,2.67,0.0,1.27,-0.77,2026-05-05 17:29:39
2026-05-05_17-29-41,2.8,2.67,0.0,1.17,-0.93,2026-05-05 17:29:41
2026-05-05_17-29-43,2.67,2.67,0.0,2.71,0.41,2026-05-05 17:29:43
2026-05-05_17-29-45,2.8,2.67,0.0,1.04,-0.57,2026-05-05 17:29:45
2026-05-05_17-29-47,2.8,2.67,0.0,2.63,0.92,2026-05-05 17:29:47
2026-05-05_17-29-49,2.8,2.67,0.0,0.72,-0.91,2026-05-05 17:29:49
2026-05-05_17-29-51,2.8,2.67,0.0,2.81,0.35,2026-05-05 17:29:51
2026-05-05_17-29-53,2.67,2.67,0.0,1.45,-0.68,2026-05-05 17:29:53
2026-05-05_17-29-55,2.8,2.67,0.0,2.03,-0.71,2026-05-05 17:29:55
2026-05-05_17-29-57,2.67,2.67,0.0,1.0,-1.6,2026-05-05 17:29:57
2026-05-05_17-29-59,2.67,2.67,0.0,2.08,0.09,2026-05-05 17:29:59
2026-05-05_17-30-01,2.67,2.67,0.0,0.81,-1.28,2026-05-05 17:30:01
2026-05-05_17-30-03,2.8,2.8,0.0,0.9,-1.09,2026-05-05 17:30:03
2026-05-05_17-30-05,2.8,2.67,0.0,2.73,0.39,2026-05-05 17:30:05
2026-05-05_17-30-07,2.8,2.53,0.0,1.09,-1.02,2026-05-05 17:30:07
2026-05-05_17-30-09,2.67,2.67,,2.45,0.84,2026-05-05 17:30:09
2026-05-05_17-30-11,2.8,,,0.77,,2026-05-05 17:30:11
2026-05-05_17-30-13,2.8,2.53,1.0,2.12,-0.39,2026-05-05 17:30:13
2026-05-05_17-30-15,2.93,2.67,1.0,1.17,-0.98,2026-05-05 17:30:15
2026-05-05_17-30-17,2.8,2.53,1.0,1.06,-1.39,2026-05-05 17:30:17
2026-05-05_17-30-19,2.8,2.53,,1.22,-1.22,2026-05-05 17:30:19
2026-05-05_17-30-21,2.8,2.53,1.0,2.27,-0.01,2026-05-05 17:30:21
2026-05-05_17-30-23,2.8,2.53,1.0,2.61,0.17,2026-05-05 17:30:23
2026-05-05_17-30-25,2.8,2.53,1.0,2.13,0.16,2026-05-05 17:30:25
2026-05-05_17-30-27,2.8,2.53,1.0,0.77,-0.67,2026-05-05 17:30:27
2026-05-05_17-30-29,2.93,2.53,1.0,1.36,-0.54,2026-05-05 17:30:29
2026-05-05_17-30-31,2.93,2.53,1.0,0.66,-0.85,2026-05-05 17:30:31
2026-05-05_17-30-33,2.93,2.4,1.0,0.65,-1.5,2026-05-05 17:30:33
2026-05-05_17-30-35,2.93,2.53,1.0,2.18,0.34,2026-05-05 17:30:35
2026-05-05_17-30-37,2.93,2.4,,2.47,0.1,2026-05-05 17:30:37
2026-05-05_17-30-39,2.93,2.53,1.0,0.92,-0.56,2026-05-05 17:30:39
2026-05-05_17-30-41,2.8,2.53,1.0,0.83,-1.31,2026-05-05 17:30:41
2026-05-05_17-30-43,2.8,2.53,1.0,0.87,-1.24,2026-05-05 17:30:43
2026-05-05_17-30-45,2.8,2.53,1.0,2.64,0.19,2026-05-05 17:30:45
2026-05-05_17-30-47,2.8,2.53,1.0,2.09,-0.08,2026-05-05 17:30:47
2026-05-05_17-30-49,2.8,2.4,1.0,2.65,0.6,2026-05-05 17:30:49
2026-05-05_17-30-51,2.8,2.4,1.0,2.57,0.3,2026-05-05 17:30:51
2026-05-05_17-30-53,2.8,2.53,1.0,0.57,-0.98,2026-05-05 17:30:53
2026-05-05_17-30-55,2.8,2.53,1.0,2.27,-0.23,2026-05-05 17:30:55
2026-05-05_17-30-57,2.8,2.4,1.0,2.54,0.49,2026-05-05 17:30:57
2026-05-05_17-30-59,2.93,2.53,1.0,1.46,-0.63,2026-05-05 17:30:59
2026-05-05_17-31-01,2.8,2.53,1.0,2.25,0.12,2026-05-05 17:31:01
2026-05-05_17-31-03,2.8,2.53,1.0,1.17,-0.18,2026-05-05 17:31:03
2026-05-05_17-31-05,2.67,2.67,0.0,1.35,-1.22,2026-05-05 17:31:05
2026-05-05_17-31-07,2.8,2.67,0.0,2.2,-0.38,2026-05-05 17:31:07
2026-05-05_17-31-09,2.8,2.67,0.0,2.22,0.08,2026-05-05 17:31:09
2026-05-05_17-31-11,2.8,2.67,0.0,0.61,-1.29,2026-05-05 17:31:11
2026-05-05_17-31-13,2.8,2.67,0.0,0.56,-1.36,2026-05-05 17:31:13
2026-05-05_17-31-15,2.67,2.67,0.0,2.25,-0.01,2026-05-05 17:31:15
2026-05-05_17-31-17,2.67,2.67,0.0,2.56,-0.2,2026-05-05 17:31:17
2026-05-05_17-31-19,2.67,,,0.96,,2026-05-05 17:31:19
