Timestamp,P1_SPU,F1_Lmin,F2_Lmin,P2_SPU,Label
2026-05-04 23:56:17,3.08,2.13,2.13,0.73,0
2026-05-04 23:56:19,1.46,2.93,2.67,-1.02,0
2026-05-04 23:56:21,1.79,2.8,2.8,-0.54,0
2026-05-04 23:56:23,3.66,2.8,2.67,1.36,0
2026-05-04 23:56:25,1.58,2.8,2.67,-0.52,0
2026-05-04 23:56:27,1.84,2.8,2.67,-0.99,0
2026-05-04 23:56:29,3.22,2.8,2.67,0.66,0
2026-05-04 23:56:31,2.96,2.8,2.67,0.52,0
2026-05-04 23:56:33,2.96,2.8,2.67,0.31,0
2026-05-04 23:56:35,2.49,2.93,2.67,0.52,0
2026-05-04 23:56:37,1.47,2.8,2.67,-0.53,0
2026-05-04 23:56:39,3.24,2.8,2.67,0.39,0
2026-05-04 23:56:41,1.42,2.8,2.67,-0.97,0
2026-05-04 23:56:43,2.86,2.8,2.67,0.52,0
2026-05-04 23:56:45,2.72,2.8,2.53,0.45,1
2026-05-04 23:56:47,3.07,2.8,2.53,0.47,1
2026-05-04 23:56:49,2.92,2.8,2.53,0.59,1
2026-05-04 23:56:51,2.73,2.93,2.67,0.25,1
2026-05-04 23:56:53,1.08,2.93,2.67,-0.97,1
2026-05-04 23:56:55,2.45,2.93,2.67,-0.16,1
2026-05-04 23:56:57,3.1,2.8,2.53,0.54,1
2026-05-04 23:56:59,2.57,2.8,2.53,0.48,1
2026-05-04 23:57:01,2.82,2.8,2.53,0.6,1
2026-05-04 23:57:03,3.21,2.93,2.67,0.58,1
2026-05-04 23:57:05,1.59,2.93,2.53,-0.44,1
2026-05-04 23:57:07,2.83,2.8,2.67,0.8,1
2026-05-04 23:57:09,3.08,2.8,2.67,0.89,1
2026-05-04 23:57:11,2.99,2.8,2.67,0.87,1
2026-05-04 23:57:13,3.31,2.93,2.53,0.01,1
2026-05-04 23:57:15,3.1,2.93,2.53,0.66,1
2026-05-04 23:57:17,3.2,2.8,2.67,0.53,1
2026-05-04 23:57:19,3.13,2.8,2.53,0.56,1
2026-05-04 23:57:21,2.44,2.8,2.67,0.25,1
2026-05-04 23:57:23,3.15,2.93,2.53,0.57,1
2026-05-04 23:57:25,1.87,2.8,2.53,-0.08,1
2026-05-04 23:57:27,3.02,2.93,2.4,0.92,1
2026-05-04 23:57:29,2.34,3.07,2.4,0.1,1
2026-05-04 23:57:31,2.01,2.93,2.4,-0.72,1
2026-05-04 23:57:33,2.87,3.07,2.27,0.67,1
2026-05-04 23:57:35,2.51,2.93,2.4,0.86,1
2026-05-04 23:57:37,2.99,3.07,2.4,0.33,1
2026-05-04 23:57:39,3.38,2.93,2.27,0.46,1
2026-05-04 23:57:41,1.61,2.93,2.4,-0.9,1
2026-05-04 23:57:43,2.68,2.93,2.4,0.68,1
2026-05-04 23:57:45,2.71,2.93,2.27,0.11,1
2026-05-04 23:57:47,2.96,3.07,2.4,0.62,1
2026-05-04 23:57:49,2.98,2.93,2.4,0.71,1
2026-05-04 23:57:51,2.68,3.07,2.4,0.2,1
2026-05-04 23:57:53,2.87,2.93,2.4,0.28,1
2026-05-04 23:57:55,2.47,2.93,2.4,0.07,1
2026-05-04 23:57:57,1.34,3.07,2.4,-0.69,1
2026-05-04 23:57:59,1.76,2.93,2.4,-0.88,1
2026-05-04 23:58:01,1.58,2.93,2.4,-0.78,1
2026-05-04 23:58:03,2.34,3.07,2.27,-0.13,1
2026-05-04 23:58:05,3.2,2.93,2.4,0.52,1
2026-05-04 23:58:07,2.78,2.93,2.4,0.16,1
2026-05-04 23:58:09,2.93,2.93,2.4,0.29,1
