Timestamp,P1_SPU,F1_Lmin,F2_Lmin,P2_SPU,Label
1778200889,3.42,2.67,2.53,-0.21,0
1778200891,1.93,2.8,2.67,-0.55,0
1778200893,2.83,2.67,2.53,0.01,0
1778200895,1.43,2.67,2.53,-0.78,0
1778200897,2.8,2.67,2.53,0.03,0
1778200899,1.82,2.67,2.67,-1.1,0
1778200901,2.3,2.67,2.53,0.24,0
1778200903,2.56,2.67,2.53,-0.08,0
1778200905,2.41,2.67,2.67,0.07,0
1778200907,2.6,2.67,2.53,-0.04,0
1778200909,2.57,2.67,2.53,-0.64,0
1778200911,2.85,2.67,2.67,-0.28,0
1778200913,3.14,2.67,2.53,-0.33,0
1778200915,2.65,2.67,2.53,0.44,0
1778200917,3.02,2.67,2.67,0.38,0
1778200919,3.02,2.67,2.53,-0.29,0
1778200921,2.25,2.8,2.67,-0.45,0
1778200923,2.61,2.67,2.53,0.01,0
1778200925,1.97,2.67,2.53,-0.43,0
1778200927,2.24,2.67,2.67,0.17,0
1778200929,1.55,2.67,2.53,-1.04,0
1778200931,2.74,2.8,2.67,0.18,0
1778200933,2.6,2.67,2.67,-0.34,0
1778200935,2.85,2.8,2.53,-0.2,0
1778200937,3.2,2.67,2.67,0.1,0
1778200939,3.06,2.67,2.53,0.45,0
1778200941,2.57,2.8,2.67,-0.36,0
1778200943,2.92,2.67,2.53,-0.21,0
1778200945,2.87,2.67,2.53,-0.05,0
1778200947,2.56,2.8,2.53,-0.32,0
1778200949,2.29,2.67,2.67,-0.49,0
1778200951,2.7,2.67,2.53,0.65,0
1778200953,2.9,2.67,2.67,0.04,0
1778200955,2.07,2.67,2.53,0.03,0
1778200957,2.71,2.8,2.53,0.01,0
1778200959,2.53,2.67,2.67,-0.45,0
1778200961,2.71,2.67,2.53,-0.54,0
1778200963,2.14,2.67,2.53,-1.12,0
1778200965,2.74,2.8,2.53,-0.04,0
1778200967,2.87,2.67,2.53,-0.02,0
1778200969,2.52,2.8,2.27,-0.66,1
1778200971,2.71,3.07,2.13,-0.75,1
1778200973,2.74,3.07,2.13,-0.36,1
1778200975,2.57,3.07,2.13,-0.56,1
1778200977,1.93,2.93,2.13,-0.28,1
1778200979,2.25,2.93,2.27,-0.29,1
1778200981,2.8,2.93,2.13,-0.28,1
1778200983,2.6,2.93,2.13,-0.18,1
1778200985,2.01,3.07,2.27,-0.38,1
1778200987,2.34,3.07,2.13,-0.81,1
1778200989,1.46,3.07,2.13,-0.94,1
1778200991,2.52,3.07,2.27,-0.43,1
1778200993,1.43,2.93,2.13,-1.65,1
1778200995,2.31,2.93,2.27,-0.39,1
1778200997,2.58,2.93,2.13,-0.23,1
1778200999,3.12,2.93,2.13,0.1,1
1778201001,3.12,2.93,2.13,0.06,1
1778201003,3.19,2.93,2.13,-0.19,1
1778201005,2.81,2.93,2.13,0.22,1
1778201007,3.21,2.93,2.13,0.53,1
1778201009,3.07,3.07,2.13,0.39,1
1778201011,2.29,3.07,2.27,-0.05,1
1778201013,2.74,3.07,2.13,-0.08,1
1778201015,2.44,3.07,2.13,0.37,1
1778201017,2.42,3.07,2.13,-0.55,1
1778201019,2.58,3.07,2.13,-1.06,1
1778201021,2.63,2.93,2.13,-0.32,1
1778201023,2.19,2.93,2.13,-0.3,1
1778201025,3.1,2.93,2.13,-0.08,1
1778201027,1.94,2.93,2.13,-1.08,1
1778201029,2.42,3.07,2.13,-0.4,1
1778201031,3.0,3.07,2.13,-0.02,1
1778201033,3.25,2.93,2.13,-0.22,1
1778201035,2.26,2.93,2.27,-0.34,1
1778201037,2.63,2.93,2.13,-0.37,1
1778201039,2.37,2.93,2.13,0.01,1
1778201041,2.05,2.93,2.13,0.11,1
1778201043,2.79,2.93,2.13,-0.14,1
1778201045,2.71,3.07,2.13,-0.07,1
1778201047,2.52,3.07,2.13,0.28,1
1778201049,1.8,2.93,2.27,-0.52,1
1778201051,2.32,2.93,2.13,0.09,1
1778201053,2.57,2.93,2.27,-0.34,1
1778201055,2.68,3.07,2.13,-0.05,1
1778201057,1.29,2.93,2.13,-1.11,1
1778201059,2.86,2.93,2.13,0.08,1
1778201061,1.59,2.93,2.13,-0.19,1
1778201063,2.8,2.93,2.13,-0.2,1
1778201065,2.84,2.93,2.27,-0.05,1
1778201067,2.89,2.93,2.13,-0.25,1
1778201069,2.84,2.93,2.13,0.14,1
1778201071,2.58,2.93,2.27,-0.5,1
1778201073,2.73,3.07,2.13,-0.06,1
1778201075,2.84,2.93,2.13,-0.11,1
1778201077,2.2,2.93,2.13,0.45,1
1778201079,2.4,2.93,2.13,-0.13,1
1778201081,2.91,3.07,2.13,-0.13,1
1778201083,2.91,3.07,2.13,-0.68,1
1778201085,2.63,3.07,2.27,0.23,1
1778201087,1.1,3.07,2.13,-1.15,1
1778201089,2.7,2.93,2.13,-0.7,1
1778201091,2.25,2.93,2.27,0.03,1
1778201093,2.61,2.93,2.13,0.73,1
1778201095,2.6,2.93,2.13,-0.31,1
1778201097,2.8,3.07,2.13,-0.08,1
1778201099,2.93,3.07,2.13,0.23,1
1778201101,2.25,3.07,2.13,-0.14,1
1778201103,3.05,3.07,2.13,-0.01,1
1778201105,2.44,3.07,2.27,0.04,1
1778201107,2.79,3.07,2.13,0.22,1
1778201109,2.88,3.07,2.27,0.02,1
1778201111,2.75,3.07,2.13,-0.61,1
1778201113,1.76,2.93,2.27,-0.98,1
1778201115,2.3,2.93,2.13,0.08,1
1778201117,2.32,2.93,2.13,-1.22,1
1778201119,2.36,2.93,2.13,-0.18,1
1778201121,2.0,2.93,2.13,-1.7,1
1778201123,2.36,2.93,2.27,-0.19,1
1778201125,2.07,3.07,2.13,-0.16,1
1778201127,2.83,2.93,2.13,-0.04,1
1778201129,2.33,2.93,2.13,-0.12,1
1778201131,3.06,3.07,2.13,-0.18,1
1778201133,0.67,3.07,2.13,-1.92,1
1778201135,2.38,3.07,2.13,-0.97,1
1778201137,2.82,3.07,2.13,-0.26,1
1778201139,2.57,3.07,2.27,-0.54,1
1778201141,2.72,2.93,2.13,-0.48,1
1778201143,2.22,2.93,2.13,-0.59,1
1778201145,2.27,2.93,2.27,-0.68,1
1778201147,2.04,2.93,2.13,-0.88,1
1778201149,1.91,2.93,2.27,-0.98,1
1778201151,2.32,2.93,2.13,-1.17,1
1778201153,2.52,2.93,2.13,-0.13,1
1778201155,2.44,2.93,2.13,-0.43,1
1778201157,2.63,2.93,2.13,-0.26,1
1778201159,2.61,3.07,2.13,0.02,1
1778201161,2.61,2.93,2.13,-0.12,1
1778201163,2.8,2.93,2.13,-0.28,1
1778201165,2.66,2.93,2.13,-0.86,1
1778201167,2.69,2.93,2.27,0.18,1
1778201169,2.79,2.93,2.13,0.03,1
1778201171,2.94,3.07,2.13,0.1,1
1778201173,2.32,3.07,2.13,-0.76,1
1778201175,1.95,3.07,2.13,-0.52,1
1778201177,2.42,3.07,2.13,-1.32,1
1778201179,2.59,3.07,2.13,-0.78,1
1778201181,2.35,2.93,2.13,-0.85,1
1778201183,2.1,3.07,2.27,-0.79,1
1778201185,1.42,2.93,2.13,-0.73,1
1778201187,2.68,2.93,2.13,-0.77,1
1778201189,1.96,3.07,2.27,-1.07,1
1778201191,2.68,2.93,2.13,-0.6,1
1778201193,2.76,2.93,2.27,-0.73,1
1778201195,3.26,2.93,2.13,-0.78,1
1778201197,2.46,2.93,2.13,-0.14,1
1778201199,3.23,2.93,2.13,-0.25,1
1778201201,2.73,2.93,2.13,-0.21,1
1778201203,2.4,2.93,2.27,-0.88,1
1778201205,2.06,2.93,2.13,-0.47,1
1778201207,2.55,2.93,2.13,-0.96,1
1778201209,2.66,2.93,2.27,-0.8,1
1778201211,2.94,3.07,2.13,-1.11,1
1778201213,2.6,3.07,2.27,-0.39,1
1778201215,1.43,2.93,2.13,-1.07,1
1778201217,2.5,2.93,2.13,-0.76,1
1778201219,2.2,2.93,2.13,-1.33,1
1778201221,2.72,3.07,2.13,-0.31,1
1778201223,1.8,3.07,2.27,-0.71,1
1778201225,2.57,3.07,2.13,-0.75,1
1778201227,2.34,2.93,2.13,-0.86,1
1778201229,2.73,2.93,2.13,-0.8,1
1778201231,2.3,2.93,2.13,-0.82,1
1778201233,2.77,2.93,2.13,0.12,1
1778201235,2.6,2.93,2.13,-0.39,1
1778201237,2.13,2.93,2.13,-0.96,1
1778201239,2.25,2.93,2.13,-0.2,1
1778201241,1.71,3.07,2.27,-0.81,1
1778201243,2.09,2.93,2.13,-0.69,1
1778201245,1.76,3.07,2.13,-0.8,1
1778201247,1.86,3.07,2.13,-1.02,1
1778201249,2.22,2.93,2.13,-0.98,1
1778201251,2.22,2.93,2.27,-0.13,1
1778201253,2.88,2.93,2.13,0.01,1
1778201255,2.71,2.93,2.13,-0.47,1
1778201257,2.42,2.93,2.13,-0.59,1
1778201259,2.79,3.07,2.13,-0.49,1
