Timestamp,P1_SPU,F1_Lmin,F2_Lmin,P2_SPU,Label
1778196249,0.25,0.0,0.0,0.42,0
1778196251,-0.63,0.0,0.0,-0.62,0
1778196253,3.48,0.8,0.8,0.81,0
1778196255,2.85,2.8,2.67,0.27,0
1778196257,3.83,2.8,2.67,0.4,0
1778196259,3.12,2.8,2.67,0.65,0
1778196261,3.2,2.67,2.67,0.25,0
1778196263,3.85,2.8,2.67,0.6,0
1778196265,2.98,2.8,2.53,0.35,0
1778196267,3.21,2.8,2.67,0.36,0
1778196269,3.63,2.8,2.67,0.35,0
1778196271,3.38,2.8,2.53,0.18,0
1778196273,2.81,2.67,2.67,0.55,0
1778196275,3.06,2.8,2.67,1.15,0
1778196277,2.91,2.8,2.53,0.05,0
1778196279,3.52,2.8,2.67,0.56,0
1778196281,2.46,2.67,2.53,-0.29,0
1778196283,3.49,2.67,2.67,0.66,0
1778196285,2.62,2.8,2.67,0.14,0
1778196287,3.07,2.8,2.67,0.19,0
1778196289,2.09,2.8,2.67,-0.56,0
1778196291,3.41,2.67,2.67,0.08,0
1778196293,3.26,2.8,2.53,0.6,0
1778196295,2.93,2.8,2.67,0.27,0
1778196297,3.77,2.8,2.67,0.4,0
1778196299,1.52,2.67,2.53,-1.12,0
1778196301,3.59,2.67,2.67,0.89,0
1778196303,3.22,2.67,2.67,0.6,0
1778196305,3.22,2.8,2.53,0.99,0
1778196307,3.25,2.8,2.67,0.55,0
1778196309,2.9,2.67,2.53,0.74,0
1778196311,2.94,2.8,2.67,0.37,0
1778196313,3.52,2.8,2.67,0.84,0
1778196315,2.47,2.67,2.53,-0.3,0
1778196317,3.38,2.67,2.67,0.34,0
1778196319,2.63,2.8,2.67,0.4,0
1778196321,3.12,2.8,2.67,0.8,0
1778196323,2.96,2.67,2.67,0.07,0
1778196325,3.44,2.67,2.67,0.27,0
1778196327,3.12,2.8,2.53,0.68,0
1778196329,2.82,2.8,2.67,0.79,0
1778196331,2.96,2.8,2.53,0.74,0
1778196333,3.38,2.8,2.67,0.68,0
1778196335,3.01,2.8,2.67,0.73,0
1778196337,3.47,2.8,2.67,0.8,0
1778196339,3.28,2.8,2.67,1.14,0
1778196341,2.7,2.67,2.53,0.5,0
1778196343,3.36,2.8,2.67,0.7,0
1778196345,2.98,2.67,2.67,0.27,0
1778196347,3.16,2.67,2.53,0.53,0
1778196349,2.84,2.67,2.53,-0.05,0
1778196351,2.64,2.67,2.67,0.14,0
1778196353,2.83,2.67,2.67,0.07,0
1778196355,2.13,2.67,2.53,-0.36,0
1778196357,3.13,2.67,2.53,0.52,0
1778196359,3.2,2.67,2.67,-0.23,0
1778196361,3.38,2.67,2.67,0.35,0
1778196363,2.8,2.67,2.67,0.37,0
1778196365,3.34,2.67,2.53,0.51,0
1778196367,3.34,2.67,2.53,0.95,0
1778196369,2.68,2.67,2.67,0.47,0
1778196371,2.7,2.67,2.67,0.38,0
1778196373,3.42,2.8,2.67,0.25,0
1778196375,2.71,2.67,2.67,0.13,0
1778196377,3.02,2.67,2.67,0.46,0
1778196379,2.16,2.67,2.67,-0.57,0
1778196381,3.3,2.67,2.53,0.74,0
1778196383,2.62,2.8,2.67,0.17,0
1778196385,3.28,2.8,2.67,0.73,0
1778196387,2.83,2.8,2.67,0.06,0
1778196389,2.78,2.67,2.67,0.35,0
1778196391,2.85,2.67,2.67,0.86,0
1778196393,3.98,2.67,2.53,0.17,0
1778196395,3.33,2.67,2.53,0.84,0
1778196397,3.05,2.67,2.53,0.83,0
1778196399,2.92,2.8,2.53,0.42,0
1778196401,3.48,2.8,2.53,0.37,0
1778196403,2.87,2.67,2.67,0.33,0
1778196405,2.71,2.67,2.67,0.22,0
1778196407,3.62,2.67,2.67,0.68,0
1778196409,2.46,2.8,2.67,-0.07,0
1778196411,2.96,2.8,2.67,0.72,0
1778196413,1.63,2.67,2.53,-1.25,0
1778196415,2.23,2.67,2.53,0.4,0
1778196417,3.01,2.67,2.67,0.29,0
1778196419,3.16,2.8,2.53,0.51,0
1778196421,2.56,2.8,2.67,0.33,0
1778196423,2.78,2.67,2.53,0.91,0
1778196425,3.41,2.67,2.53,1.18,0
1778196427,2.95,2.8,2.53,1.2,0
1778196429,2.89,2.8,2.53,0.08,0
1778196431,3.4,2.67,2.53,1.05,0
1778196433,3.03,2.67,2.53,1.33,0
1778196435,2.9,2.67,2.53,0.84,0
1778196437,3.2,2.8,2.53,1.18,0
1778196439,2.92,2.8,2.53,0.45,0
1778196441,3.21,2.8,2.67,0.43,0
1778196443,2.43,2.8,2.67,-0.03,0
1778196445,3.34,2.8,2.67,0.82,0
1778196447,2.5,2.67,2.67,0.45,0
1778196449,3.6,2.67,2.67,1.38,0
1778196451,3.14,2.8,2.67,0.76,0
1778196453,2.31,3.07,2.27,0.76,1
1778196455,2.67,3.07,2.13,1.08,1
1778196457,3.32,3.07,2.13,0.88,1
1778196459,2.34,2.93,2.13,0.59,1
1778196461,2.47,2.93,2.13,0.7,1
1778196463,2.92,2.93,2.27,0.34,1
1778196465,3.03,2.93,2.27,0.55,1
1778196467,0.98,3.07,2.13,-1.22,1
1778196469,2.6,3.07,2.13,0.02,1
1778196471,2.94,2.93,2.27,0.31,1
1778196473,2.03,2.93,2.27,0.13,1
1778196475,2.76,2.93,2.27,0.11,1
1778196477,2.48,2.93,2.27,-0.06,1
1778196479,3.14,2.93,2.27,0.32,1
1778196481,3.15,2.93,2.13,0.08,1
1778196483,3.4,2.93,2.13,0.91,1
1778196485,3.45,2.93,2.13,0.49,1
1778196487,3.5,3.07,2.13,1.1,1
1778196489,2.97,3.07,2.27,-0.26,1
1778196491,2.99,3.07,2.13,0.08,1
1778196493,3.4,3.07,2.13,0.5,1
1778196495,3.26,2.93,2.13,0.48,1
1778196497,2.74,2.93,2.13,0.67,1
1778196499,2.12,2.93,2.13,-0.07,1
1778196501,2.97,2.93,2.13,0.36,1
1778196503,2.13,3.07,2.27,-0.26,1
1778196505,3.13,3.07,2.13,0.6,1
1778196507,2.33,3.07,2.27,0.2,1
1778196509,2.98,3.07,2.27,0.42,1
1778196511,2.48,3.07,2.13,0.38,1
1778196513,2.9,3.07,2.13,1.11,1
1778196515,3.29,3.07,2.13,1.24,1
1778196517,3.07,3.07,2.27,0.83,1
1778196519,3.15,3.07,2.27,0.29,1
1778196521,3.41,2.93,2.13,1.01,1
1778196523,2.86,3.07,2.13,0.89,1
1778196525,2.83,2.93,2.13,-0.17,1
1778196527,3.0,3.07,2.27,0.55,1
1778196529,3.11,3.07,2.27,0.8,1
1778196531,3.29,3.07,2.27,0.47,1
1778196533,2.38,3.07,2.27,0.07,1
1778196535,2.8,3.07,2.13,-0.08,1
1778196537,2.97,2.93,2.13,-0.06,1
1778196539,0.84,2.93,2.13,-1.09,1
1778196541,2.16,2.93,2.27,-0.09,1
1778196543,3.01,3.07,2.27,0.52,1
1778196545,2.47,3.07,2.27,-0.14,1
1778196547,3.34,3.07,2.13,0.56,1
1778196549,3.3,2.93,2.13,0.4,1
1778196551,2.99,2.93,2.13,0.46,1
1778196553,3.37,2.93,2.27,0.05,1
1778196555,2.89,3.07,2.27,0.04,1
1778196557,2.92,3.07,2.27,0.6,1
1778196559,3.47,3.07,2.13,1.24,1
1778196561,2.76,3.07,2.13,0.6,1
1778196563,3.52,2.93,2.13,0.27,1
1778196565,3.06,2.93,2.27,0.54,1
1778196567,1.99,2.93,2.27,-0.52,1
1778196569,2.56,2.93,2.27,0.44,1
1778196571,1.92,3.07,2.13,0.26,1
1778196573,3.04,3.07,2.13,0.56,1
1778196575,2.55,2.93,2.27,0.23,1
1778196577,3.14,3.07,2.27,0.29,1
1778196579,2.95,3.07,2.27,0.57,1
1778196581,3.09,3.07,2.13,0.54,1
1778196583,2.83,3.07,2.27,1.0,1
1778196585,3.46,3.07,2.27,0.81,1
1778196587,3.02,3.07,2.27,0.8,1
1778196589,2.77,3.07,2.27,0.58,1
1778196591,3.1,2.93,2.13,0.54,1
1778196593,3.25,3.07,2.13,1.04,1
1778196595,3.37,3.07,2.27,0.59,1
1778196597,2.23,3.07,2.13,0.2,1
1778196599,2.89,2.93,2.13,0.67,1
1778196601,2.6,2.93,2.27,0.05,1
1778196603,3.22,2.93,2.13,1.07,1
1778196605,2.55,2.93,2.13,0.62,1
1778196607,2.74,2.93,2.13,0.64,1
1778196609,2.73,2.93,2.27,0.6,1
1778196611,3.12,2.93,2.13,0.82,1
1778196613,2.79,2.93,2.13,0.27,1
1778196615,2.56,2.93,2.27,0.21,1
1778196617,2.53,2.93,2.27,0.4,1
1778196619,2.72,2.93,2.27,0.58,1
1778196621,3.03,2.93,2.13,0.85,1
1778196623,3.19,2.93,2.13,0.9,1
1778196625,2.41,2.93,2.27,0.35,1
1778196627,2.6,2.93,2.13,0.19,1
1778196629,3.25,2.93,2.13,0.85,1
1778196631,2.03,2.93,2.13,-0.35,1
1778196633,2.91,2.93,2.27,0.13,1
1778196635,2.41,2.93,2.27,0.42,1
1778196637,2.87,3.07,2.13,0.5,1
1778196639,2.54,3.07,2.13,0.68,1
1778196641,2.52,3.07,2.27,0.52,1
1778196643,2.86,3.07,2.27,0.45,1
1778196645,3.16,2.93,2.13,0.57,1
1778196647,3.06,2.93,2.13,0.29,1
1778196649,3.08,2.93,2.27,0.44,1
1778196651,2.57,3.07,2.13,0.42,1
1778196653,3.02,3.07,2.13,0.57,1
1778196655,3.37,3.07,2.13,0.51,1
1778196657,2.58,3.07,2.27,0.12,1
1778196659,2.47,3.07,2.27,0.45,1
1778196661,2.2,3.07,2.13,-0.6,1
1778196663,2.64,3.07,2.13,0.32,1
1778196665,2.17,2.93,2.27,-0.75,1
1778196667,2.95,3.07,2.13,0.25,1
1778196669,1.24,2.93,2.13,0.04,1
1778196671,2.26,3.07,2.13,-0.29,1
1778196673,2.53,3.07,2.27,0.13,1
1778196675,2.83,2.93,2.13,1.08,1
1778196677,2.63,3.07,2.13,0.93,1
1778196679,3.21,2.93,2.13,1.18,1
1778196681,3.12,2.93,2.27,0.47,1
1778196683,2.97,2.93,2.13,0.53,1
1778196685,3.31,2.93,2.13,0.37,1
1778196687,3.0,3.07,2.27,0.81,1
1778196689,2.5,3.07,2.27,0.54,1
1778196691,2.58,3.07,2.13,0.13,1
1778196693,3.12,2.93,2.27,0.6,1
1778196695,2.29,2.93,2.13,-0.05,1
1778196697,3.46,3.07,2.13,0.25,1
1778196699,2.61,3.07,2.27,0.18,1
1778196701,2.87,2.93,2.13,1.2,1
1778196703,2.24,2.93,2.13,-0.01,1
1778196705,2.4,2.93,2.13,-0.66,1
1778196707,3.51,3.07,2.13,0.38,1
1778196709,2.53,3.07,2.27,0.22,1
1778196711,2.72,3.07,2.27,0.35,1
1778196713,2.48,3.07,2.13,-0.1,1
1778196715,2.39,2.93,2.13,0.07,1
1778196717,2.61,2.93,2.27,0.05,1
1778196719,3.2,3.07,2.13,0.3,1
1778196721,2.53,2.93,2.13,0.37,1
1778196723,2.36,3.07,2.27,0.05,1
1778196725,2.04,3.07,2.13,-0.53,1
1778196727,3.25,2.93,2.13,0.04,1
