Timestamp,P1_SPU,F1_Lmin,F2_Lmin,P2_SPU,Label
1778183722,2.25,2.67,2.67,0.94,0
1778183724,2.97,2.67,2.53,0.94,0
1778183726,2.97,2.67,2.53,1.25,0
1778183728,2.86,2.67,2.53,1.33,0
1778183730,2.78,2.67,2.53,1.36,0
1778183732,2.8,2.67,2.53,1.08,0
1778183734,2.95,2.67,2.53,1.56,0
1778183736,2.29,2.8,2.53,0.86,0
1778183738,2.65,2.67,2.53,1.39,0
1778183740,2.35,2.67,2.67,1.1,0
1778183742,2.62,2.67,2.53,0.99,0
1778183744,2.49,2.67,2.53,1.07,0
1778183746,2.85,2.67,2.53,1.43,0
1778183748,2.1,2.8,2.53,0.69,0
1778183750,2.57,2.67,2.53,1.32,0
1778183752,1.79,2.67,2.53,0.81,0
1778183754,2.57,2.8,2.53,0.45,0
1778183756,2.52,2.67,2.53,1.12,0
1778183758,3.2,2.67,2.67,1.69,0
1778183760,2.24,2.8,2.67,1.01,0
1778183762,3.29,2.67,2.53,1.34,0
1778183764,2.78,2.8,2.53,1.28,0
1778183766,2.97,2.67,2.53,1.38,0
1778183768,2.7,2.67,2.67,0.98,0
1778183770,3.04,2.67,2.53,0.72,0
1778183772,2.65,2.67,2.53,0.91,0
1778183774,2.86,2.8,2.53,1.2,0
1778183776,3.05,2.67,2.53,0.93,0
1778183778,1.9,2.67,2.67,0.88,0
1778183780,3.0,2.8,2.67,0.99,0
1778183782,1.65,2.67,2.67,0.4,0
1778183784,3.05,2.67,2.67,1.25,0
1778183786,2.71,2.8,2.53,0.27,0
1778183788,3.16,2.67,2.53,0.78,0
1778183790,2.4,2.67,2.67,0.32,0
1778183792,3.59,2.67,2.53,0.64,0
1778183794,2.69,2.67,2.53,0.19,0
1778183796,2.54,2.67,2.53,0.95,0
1778183798,2.97,2.67,2.53,0.79,0
1778183800,2.84,2.67,2.53,0.98,0
1778183802,3.14,2.67,2.53,0.86,0
1778183804,1.29,2.67,2.67,-0.98,0
1778183806,2.83,2.67,2.53,0.73,0
1778183808,2.8,2.67,2.53,0.91,0
1778183810,3.14,2.67,2.67,1.06,0
1778183812,2.26,2.8,2.67,0.42,0
1778183814,3.48,2.67,2.53,0.62,0
1778183816,2.6,2.67,2.53,0.2,0
1778183818,3.16,2.27,2.27,0.6,0
1778183820,2.82,2.13,2.0,0.77,0
1778183822,2.76,2.8,2.67,0.81,0
1778183824,3.47,2.67,2.53,0.77,0
1778183826,2.69,2.67,2.53,0.73,0
1778183828,2.47,2.67,2.67,0.35,0
1778183830,3.04,2.67,2.53,0.62,0
1778183832,2.72,2.67,2.53,0.91,0
1778183834,2.9,2.67,2.53,1.3,0
1778183836,1.21,2.67,2.67,-0.73,0
1778183838,2.91,2.67,2.53,1.17,0
1778183840,2.94,2.8,2.53,0.79,0
1778183842,2.5,2.8,2.53,0.22,0
1778183844,3.09,2.67,2.53,0.83,0
1778183846,2.42,2.67,2.53,0.27,0
1778183848,3.17,2.67,2.53,1.2,0
1778183850,2.61,2.67,2.67,0.68,0
