Timestamp,P1_SPU,F1_Lmin,F2_Lmin,P2_SPU,Label
1778191121,3.64,2.8,2.53,-0.05,0
1778191123,4.19,2.67,2.53,0.69,0
1778191125,3.6,2.8,2.67,0.12,0
1778191127,3.63,2.67,2.67,-0.02,0
1778191129,3.39,2.8,2.67,-0.31,0
1778191131,2.68,2.67,2.53,-0.18,0
1778191133,3.49,2.8,2.53,-0.25,0
1778191135,3.18,2.67,2.53,-0.65,0
1778191137,3.85,2.67,2.53,-0.3,0
1778191139,3.35,2.67,2.53,-0.12,0
1778191141,3.39,2.67,2.67,-0.16,0
1778191143,2.86,2.67,2.67,-0.92,0
1778191145,3.3,2.67,2.67,-0.4,0
1778191147,3.51,2.67,2.67,0.05,0
1778191149,3.32,2.67,2.67,-0.08,0
1778191151,3.54,2.67,2.53,-0.14,0
1778191153,3.39,2.67,2.53,-0.8,0
1778191155,3.63,2.67,2.53,-0.55,0
1778191157,4.21,2.67,2.67,-0.6,0
1778191159,3.69,2.8,2.67,0.03,0
1778191161,3.61,2.67,2.67,-0.61,0
1778191163,3.33,2.67,2.67,0.18,0
1778191165,3.32,2.67,2.67,-1.14,0
1778191167,3.04,2.67,2.53,-0.2,0
1778191169,3.26,2.67,2.53,-0.33,0
1778191171,3.73,2.67,2.53,-0.25,0
1778191173,3.82,2.67,2.67,-0.25,0
1778191175,3.33,2.8,2.67,0.34,0
1778191177,3.99,2.67,2.67,0.03,0
1778191179,3.34,2.8,2.67,0.36,0
1778191181,4.06,2.67,2.67,0.82,0
1778191183,3.53,2.67,2.53,-0.13,0
1778191185,3.25,2.8,2.53,-0.06,0
1778191187,4.16,2.67,2.53,0.28,0
1778191189,4.09,2.8,2.67,0.06,0
1778191191,3.22,2.67,2.67,-0.14,0
1778191193,3.97,2.67,2.67,-0.15,0
1778191195,3.18,2.67,2.67,-0.65,0
1778191197,3.09,2.67,2.67,-0.11,0
1778191199,3.33,2.67,2.67,-0.84,0
1778191201,3.78,2.67,2.53,-0.2,0
1778191203,2.81,2.67,2.53,-0.57,0
1778191205,3.96,2.8,2.53,0.17,0
1778191207,4.09,2.67,2.67,0.73,0
1778191209,3.92,2.67,2.53,-0.15,0
1778191211,3.34,2.67,2.67,0.61,0
1778191213,3.9,2.67,2.67,0.48,0
1778191215,3.2,2.67,2.67,0.71,0
1778191217,3.81,2.67,2.53,-0.59,0
1778191219,3.78,2.67,2.67,-0.21,0
1778191221,3.05,2.67,2.67,-0.27,0
1778191223,3.08,2.67,2.67,0.16,0
